step	mean_squared_error
0	3268.53662109375
1	3263.1953125
2	3262.929443359375
3	3262.8427734375
4	3262.799560546875
5	3262.775634765625
6	3262.76171875
7	3262.7509765625
8	3262.744384765625
9	3262.739501953125
10	3262.735595703125
11	3262.732177734375
12	3262.732666015625
13	3262.729736328125
14	3262.72705078125
15	3262.72607421875
16	3262.725341796875
17	3262.725341796875
18	3262.7255859375
19	3262.72412109375
20	3262.72412109375
21	3262.724365234375
22	3262.72216796875
23	3262.72314453125
24	3262.7236328125
25	3262.7236328125
26	3262.723388671875
27	3262.72216796875
28	3262.72216796875
29	3262.720703125
30	3262.722412109375
31	3262.723388671875
32	3262.72314453125
33	3262.722900390625
34	3262.721923828125
35	3262.72119140625
36	3262.72314453125
