step	mean_absolute_percentage_error
0	98.3880844116211
1	98.25907897949219
2	98.25323486328125
3	98.25120544433594
4	98.25033569335938
5	98.24976348876953
6	98.24944305419922
7	98.24917602539062
8	98.24907684326172
9	98.24893188476562
10	98.24886322021484
11	98.24880981445312
12	98.24874877929688
13	98.24874114990234
14	98.24870300292969
15	98.24866485595703
16	98.24866485595703
17	98.24864196777344
18	98.2486343383789
19	98.24861907958984
20	98.24862670898438
21	98.24864196777344
22	98.24858856201172
23	98.24858856201172
24	98.24862670898438
25	98.24855041503906
26	98.24860382080078
27	98.24858093261719
28	98.24852752685547
29	98.24858093261719
30	98.2485580444336
31	98.24860382080078
32	98.24864196777344
33	98.2485580444336
34	98.24858856201172
35	98.24858093261719
36	98.24858093261719
37	98.24858093261719
38	98.24862670898438
39	98.2486343383789
40	98.24861907958984
41	98.24858093261719
42	98.24856567382812
43	98.2486572265625
44	98.24858856201172
45	98.24860382080078
46	98.24861907958984
47	98.24860382080078
48	98.24858856201172
49	98.24855041503906
50	98.24859619140625
