step	r2_score
0	-67.37997436523438
1	-67.20943450927734
2	-67.2043228149414
3	-67.2030258178711
4	-67.19709014892578
5	-67.1989974975586
6	-67.19422912597656
7	-67.2013168334961
8	-67.20066833496094
9	-67.20103454589844
10	-67.19739532470703
11	-67.203857421875
12	-67.19991302490234
13	-67.19900512695312
14	-67.19376373291016
15	-67.19329071044922
16	-67.20191192626953
17	-67.1971206665039
18	-67.2044906616211
19	-67.20232391357422
20	-67.19537353515625
21	-67.2014389038086
22	-67.19667053222656
23	-67.20398712158203
24	-67.19877624511719
25	-67.19877624511719
26	-67.1983642578125
27	-67.2013931274414
28	-67.19487762451172
29	-67.20353698730469
30	-67.1983642578125
31	-67.19230651855469
32	-67.20446014404297
33	-67.19488525390625
34	-67.20354461669922
35	-67.19703674316406
36	-67.19103240966797
37	-67.19190216064453
38	-67.19707489013672
39	-67.19314575195312
40	-67.20010375976562
41	-67.20048522949219
42	-67.1970443725586
43	-67.19705200195312
44	-67.19966888427734
45	-67.1961898803711
46	-67.19834899902344
47	-67.20051574707031
48	-67.19621276855469
49	-67.1978988647461
50	-67.19579315185547
