step	root_mean_squared_error
0	56.888397216796875
1	56.86252975463867
2	56.861019134521484
3	56.8604736328125
4	56.860233306884766
5	56.86008834838867
6	56.86001205444336
7	56.859954833984375
8	56.85991668701172
9	56.85985565185547
10	56.85986328125
11	56.85984802246094
12	56.85983657836914
13	56.859825134277344
14	56.85981369018555
15	56.85978698730469
16	56.85979080200195
17	56.85979080200195
18	56.85978698730469
19	56.85979080200195
20	56.85980224609375
21	56.85978317260742
22	56.85978698730469
23	56.85977554321289
24	56.85976791381836
25	56.859764099121094
26	56.859779357910156
27	56.859779357910156
28	56.85978698730469
29	56.859771728515625
30	56.85976791381836
31	56.859764099121094
32	56.85978317260742
33	56.85979080200195
34	56.859779357910156
35	56.85977554321289
36	56.85978698730469
37	56.85979080200195
38	56.859771728515625
39	56.859771728515625
