step	r_squared
0	-2353.018310546875
1	-2247.703369140625
2	-2182.5849609375
3	-2235.416259765625
4	-2154.92138671875
5	-2319.37353515625
6	-2184.52685546875
7	-2483.587890625
8	-2150.97802734375
9	-2304.638427734375
10	-2129.32373046875
11	-2285.856689453125
12	-2406.98828125
13	-2196.484130859375
14	-2175.585205078125
15	-2171.08935546875
16	-2205.94580078125
17	-2188.374267578125
18	-2206.66748046875
19	-2105.90966796875
20	-2167.306884765625
21	-2124.549072265625
22	-2214.443115234375
23	-2179.09033203125
24	-2077.949951171875
25	-2094.87939453125
26	-2057.99609375
27	-2029.6861572265625
28	-2096.605712890625
29	-2040.5447998046875
30	-2142.76513671875
31	-2082.93701171875
32	-2034.2757568359375
33	-2072.754638671875
34	-2108.443359375
35	-2073.665771484375
36	-2068.9072265625
37	-2010.0396728515625
38	-2038.453369140625
39	-1988.4002685546875
40	-2114.30810546875
41	-2062.892822265625
42	-2158.1767578125
43	-1943.332275390625
44	-1981.9739990234375
45	-2120.708984375
46	-1983.6612548828125
47	-1995.690185546875
48	-1945.189208984375
49	-1902.1055908203125
50	-2019.025146484375
51	-1885.776123046875
52	-1869.8626708984375
53	-1823.6055908203125
54	-1863.528076171875
55	-1850.9259033203125
56	-1830.364013671875
57	-1796.5028076171875
58	-1862.0576171875
59	-1823.6197509765625
60	-1774.5894775390625
61	-1754.146484375
62	-1780.631591796875
63	-1723.6402587890625
64	-1752.9398193359375
65	-1678.6156005859375
66	-1678.2122802734375
67	-1663.9415283203125
68	-1687.925048828125
69	-1639.966796875
70	-1578.563232421875
71	-1599.242919921875
72	-1599.9034423828125
73	-1587.520263671875
74	-1517.5382080078125
75	-1515.2747802734375
76	-1489.7586669921875
77	-1562.8360595703125
78	-1497.4923095703125
79	-1537.866455078125
80	-1464.777099609375
81	-1406.9818115234375
82	-1399.244140625
83	-1345.600341796875
84	-1344.626953125
85	-1320.9622802734375
86	-1256.6455078125
87	-1275.9493408203125
88	-1303.021484375
89	-1284.1986083984375
90	-1258.5885009765625
91	-1233.7567138671875
92	-1194.2464599609375
93	-1230.2806396484375
94	-1139.8094482421875
95	-1209.682861328125
96	-1138.4891357421875
97	-1081.123291015625
98	-1153.945068359375
99	-1049.6651611328125
100	-1040.510009765625
101	-1002.2510375976562
102	-1009.6226806640625
103	-952.0579833984375
104	-963.0588989257812
105	-949.5402221679688
106	-949.0927734375
107	-897.2620239257812
108	-865.5415649414062
109	-851.9303588867188
110	-818.1016845703125
111	-804.9318237304688
112	-800.5189819335938
113	-763.7432250976562
114	-798.0162963867188
115	-745.9818115234375
116	-722.0191040039062
117	-714.2584838867188
118	-731.03271484375
119	-666.1467895507812
120	-645.8605346679688
121	-651.7426147460938
122	-621.978515625
123	-604.1578369140625
124	-593.0000610351562
125	-572.0944213867188
126	-551.2266235351562
127	-532.3381958007812
128	-535.9698486328125
129	-507.4111328125
130	-487.7197570800781
131	-479.73028564453125
132	-476.3288879394531
133	-434.48779296875
134	-426.39764404296875
135	-427.90081787109375
136	-404.1259460449219
137	-391.6190490722656
138	-389.37493896484375
139	-365.93634033203125
140	-349.0579528808594
141	-345.138427734375
142	-331.1134338378906
143	-307.4870910644531
144	-313.890625
145	-287.43017578125
146	-299.74163818359375
147	-269.81707763671875
148	-265.9632263183594
149	-250.9452667236328
150	-242.44985961914062
151	-240.26499938964844
152	-221.06515502929688
153	-218.2405242919922
154	-214.2311553955078
155	-206.49656677246094
156	-195.03553771972656
157	-183.2451629638672
158	-171.483642578125
159	-171.3730010986328
160	-171.20150756835938
161	-161.91201782226562
162	-142.48043823242188
163	-141.5562286376953
164	-136.4076690673828
165	-130.2933807373047
166	-130.4158477783203
167	-112.51660919189453
168	-107.2783203125
169	-106.61390686035156
170	-106.13866424560547
171	-97.4676742553711
172	-93.9388198852539
173	-90.156005859375
174	-85.58082580566406
175	-79.50700378417969
176	-79.11730194091797
177	-70.90901947021484
178	-68.33258056640625
179	-62.95440673828125
180	-62.3065185546875
181	-55.487972259521484
182	-55.15578079223633
183	-54.677528381347656
184	-51.322410583496094
185	-47.4509391784668
186	-46.38467025756836
187	-42.304752349853516
188	-41.27629852294922
189	-39.478946685791016
190	-37.660972595214844
191	-35.060726165771484
192	-33.32019805908203
193	-32.91792678833008
194	-28.289762496948242
195	-29.694028854370117
196	-26.79152488708496
197	-26.2835636138916
198	-24.02106285095215
199	-22.75498390197754
200	-21.691930770874023
201	-23.717788696289062
202	-17.781475067138672
203	-19.189807891845703
204	-18.86211585998535
205	-16.43600845336914
206	-15.657174110412598
207	-15.836982727050781
208	-13.715832710266113
209	-14.063261985778809
210	-11.80698299407959
211	-11.916258811950684
212	-14.268381118774414
213	-12.221983909606934
214	-12.446586608886719
215	-13.63177490234375
216	-11.30918025970459
217	-10.797456741333008
218	-10.829852104187012
219	-10.849096298217773
220	-10.82280158996582
221	-9.986132621765137
222	-9.636971473693848
223	-8.939873695373535
224	-8.696157455444336
225	-8.941435813903809
